objectid,classification,endyear,medium,title,uuid,iiifurl,iiifthumburl,width,height,maxpixels,created
133242,Photograph,1900-1920,gelatin silver print,Untitled (Girl with long hair flowing down her back),9b0ce89c-4b2d-43c7-aad3-5c5a14f37e74,https://api.nga.gov/iiif/9b0ce89c-4b2d-43c7-aad3-5c5a14f37e74,"https://api.nga.gov/iiif/9b0ce89c-4b2d-43c7-aad3-5c5a14f37e74/full/!200,200/0/default.jpg",2294,3023,,2011-02-03 16:05:36-05
144303,Photograph,1900-1920,photogravure,Singer Building,e94e8c5e-e5b6-472d-8cf4-d298e3297ace,https://api.nga.gov/iiif/e94e8c5e-e5b6-472d-8cf4-d298e3297ace,"https://api.nga.gov/iiif/e94e8c5e-e5b6-472d-8cf4-d298e3297ace/full/!200,200/0/default.jpg",1537,4498,640.0,2011-04-07 16:04:57-04
150208,Photograph,1900-1920,photogravure,Morning,54854409-2957-4821-9bb4-4311a5157e05,https://api.nga.gov/iiif/54854409-2957-4821-9bb4-4311a5157e05,"https://api.nga.gov/iiif/54854409-2957-4821-9bb4-4311a5157e05/full/!200,200/0/default.jpg",3460,4479,,2011-04-28 16:23:33-04
150194,Photograph,1900-1920,photogravure,The Sphinx,1746c577-0a6e-4b94-8ff7-2e4ad7d177f0,https://api.nga.gov/iiif/1746c577-0a6e-4b94-8ff7-2e4ad7d177f0,"https://api.nga.gov/iiif/1746c577-0a6e-4b94-8ff7-2e4ad7d177f0/full/!200,200/0/default.jpg",3399,4649,640.0,2010-05-17 10:34:58-04
165230,Photograph,1900-1920,gelatin silver print,"Addie Card, 12 years old. Spinner in cotton mill, North Pownal, Vermont",17383b8e-da57-4109-8c99-f6fd450ec1e6,https://api.nga.gov/iiif/17383b8e-da57-4109-8c99-f6fd450ec1e6,"https://api.nga.gov/iiif/17383b8e-da57-4109-8c99-f6fd450ec1e6/full/!200,200/0/default.jpg",4615,5848,,2015-03-12 16:52:32-04
218028,Photograph,1900-1920,photogravure,A Dirigible,37731910-9561-4889-a0b0-5015fa14906b,https://api.nga.gov/iiif/37731910-9561-4889-a0b0-5015fa14906b,"https://api.nga.gov/iiif/37731910-9561-4889-a0b0-5015fa14906b/full/!200,200/0/default.jpg",5738,5714,640.0,2019-06-25 23:26:57-04
218029,Photograph,1900-1920,photogravure,The Aeroplane,f3e3ab55-6c03-4153-b521-7fc90c02dad3,https://api.nga.gov/iiif/f3e3ab55-6c03-4153-b521-7fc90c02dad3,"https://api.nga.gov/iiif/f3e3ab55-6c03-4153-b521-7fc90c02dad3/full/!200,200/0/default.jpg",5590,4633,640.0,2019-06-25 23:29:10-04
218081,Photograph,1900-1920,photogravure,Indian Whalers Stripping Their Prey at Neah Bay,a7b3b2e7-cf43-4afd-85dc-f91edd5e5311,https://api.nga.gov/iiif/a7b3b2e7-cf43-4afd-85dc-f91edd5e5311,"https://api.nga.gov/iiif/a7b3b2e7-cf43-4afd-85dc-f91edd5e5311/full/!200,200/0/default.jpg",6817,5399,640.0,2019-07-10 23:57:04-04
218082,Photograph,1900-1920,photogravure,The King of the Seas in the Hands of the Makahs,e2718784-d3b1-4668-acbe-b534109b48e8,https://api.nga.gov/iiif/e2718784-d3b1-4668-acbe-b534109b48e8,"https://api.nga.gov/iiif/e2718784-d3b1-4668-acbe-b534109b48e8/full/!200,200/0/default.jpg",6771,5321,640.0,2019-07-10 23:55:00-04
218083,Photograph,1900-1920,photogravure,Makah Indian Whalers,3de2a034-a8a3-40e9-996f-45b008f97b8d,https://api.nga.gov/iiif/3de2a034-a8a3-40e9-996f-45b008f97b8d,"https://api.nga.gov/iiif/3de2a034-a8a3-40e9-996f-45b008f97b8d/full/!200,200/0/default.jpg",8753,5665,640.0,2019-06-28 17:52:49-04
